test_score,reading_time,class
53,30,class_1
67,28,class_1
73,27,class_1
80,33,class_1
47,36,class_1
67,30,class_1
60,30,class_1
87,23,class_1
53,33,class_1
47,36,class_1
60,33,class_1
53,29,class_1
67,29,class_1
47,35,class_1
73,28,class_1
67,28,class_1
67,28,class_1
60,34,class_1
53,39,class_1
67,30,class_1
20,34,class_2
0,37,class_2
20,34,class_2
13,36,class_2
27,31,class_2
20,25,class_2
33,32,class_2
27,28,class_2
53,21,class_2
7,35,class_2
20,33,class_2
13,33,class_2
0,41,class_2
13,27,class_2
33,28,class_2
13,40,class_2
7,38,class_2
20,37,class_2
33,33,class_2
27,29,class_2
40,34,class_3
60,25,class_3
60,33,class_3
53,31,class_3
27,36,class_3
47,32,class_3
53,32,class_3
47,34,class_3
60,26,class_3
53,30,class_3
47,28,class_3
53,35,class_3
40,26,class_3
27,37,class_3
47,31,class_3
47,30,class_3
40,32,class_3
67,29,class_3
53,36,class_3
73,29,class_3
20,38,class_4
47,33,class_4
53,25,class_4
13,46,class_4
47,35,class_4
27,34,class_4
47,23,class_4
13,37,class_4
53,30,class_4
40,35,class_4
27,36,class_4
40,25,class_4
40,33,class_4
53,27,class_4
33,33,class_4
33,29,class_4
47,28,class_4
27,37,class_4
33,34,class_4
40,32,class_4
